@relation players_stats

@attribute GamesPlayed numeric
@attribute Points numeric
@attribute 3PointsAccuracy numeric
@attribute FreeThrows numeric
@attribute Rebound numeric
@attribute Assistance numeric
@attribute Stolen numeric
@attribute Blocks numeric

@data
5,11,14.3,66.7,4,2,0,0
35,73,26.3,66.7,39,11,6,1
78,1275,34.7,77.4,274,350,78,15
76,1463,36.4,81.2,373,313,108,30
73,710,16.7,78.3,609,146,71,126
8,16,6.7,100,9,3,2,2
69,1098,0,75,704,142,78,34
42,80,0,51.3,79,9,7,11
17,14,0,50,15,3,2,0
82,775,37.9,75.8,216,302,46,10
82,827,40.5,72,453,116,61,19
48,564,0,50,482,6,27,123
62,232,43.2,54.5,99,37,19,7
73,586,18.2,77.4,359,79,39,30
24,175,34.1,77.8,82,29,24,9
71,626,40.1,70.8,198,85,57,26
30,57,33.3,100,16,12,9,3
61,265,0,30.4,356,33,30,46
62,496,34.2,67.2,224,135,81,16
47,432,37,81.7,87,98,29,3
67,1101,37.3,86.8,153,284,57,5
55,338,30,59.6,100,180,36,6
77,580,32.3,80.9,134,263,33,1
19,227,37.1,75.3,36,40,12,2
25,308,25,69.7,138,42,31,5
16,27,0,42.9,25,1,6,3
82,628,29.3,77.3,293,94,72,25
74,386,24.4,67,163,77,38,26
3,3,50,0,2,3,0,1
64,1010,32.7,90.1,124,158,59,14
63,523,34.5,66.7,146,253,47,6
62,312,32.6,84,176,48,25,17
81,2217,37.5,86.8,459,565,154,60
70,554,21.6,65.7,257,95,54,70
57,250,36,84.8,62,24,13,8
15,62,0,56,37,2,5,9
31,105,25.8,55.2,42,13,8,2
24,62,0,80,45,4,5,5
9,41,40.9,100,3,8,0,0
19,35,30.8,53.8,9,10,3,0
72,518,38.5,71.6,220,130,72,11
58,770,28.3,74.4,441,134,44,42
19,57,0,53.6,34,4,5,5
80,957,26.7,88.1,245,373,75,13
61,203,0,57.7,203,19,18,44
19,172,32.3,77.3,66,38,13,3
82,656,35.7,83,324,140,32,44
77,541,39,81.3,121,147,66,19
81,491,0,62.2,530,85,33,57
23,106,0,66.7,61,3,2,20
17,60,0,57.9,77,15,4,9
51,137,0,75,117,14,8,8
78,1168,33.2,83.3,328,134,53,34
73,1162,34.3,86.2,184,513,125,31
37,98,0,68,64,11,4,18
29,127,30.6,63.4,53,22,12,1
65,411,31.4,59.1,198,79,40,68
6,9,50,100,3,2,3,1
38,90,40,82.8,71,13,11,12
47,295,34.2,89.1,107,44,21,6
74,832,36.9,79.5,196,339,82,32
44,138,0,86.4,105,13,8,15
2,0,0,0,3,0,0,0
77,598,30.8,88.3,211,233,59,12
50,178,18.8,95.6,40,58,15,2
65,1301,37.8,83.4,379,212,114,36
73,552,0,57.7,452,57,36,35
78,1277,43.7,90.1,167,137,39,8
67,485,0,60.3,646,312,48,74
60,663,34.9,90.6,104,79,59,6
51,136,36.9,60,41,26,7,2
79,396,35.6,75,175,182,72,10
80,1154,35.9,80.1,384,292,59,14
49,87,0,68.2,93,5,12,49
48,169,0,84,191,16,9,23
69,184,0,28.9,279,25,40,25
24,93,18.8,64.3,77,13,8,10
67,470,0,56.9,312,59,28,135
24,135,40.4,84.2,39,13,10,0
21,98,31,100,16,60,8,0
21,42,30.8,50,21,13,9,4
79,1387,30,78.5,366,792,138,45
34,100,0,44.4,64,17,5,4
63,286,24.1,62.7,207,46,17,9
75,448,38.6,84.8,282,71,46,18
80,963,0,78.6,693,39,33,95
30,94,40,60.9,28,16,16,7
59,703,31.4,82.9,191,206,51,12
36,167,36.1,90.9,42,67,20,5
14,38,47.6,0,16,7,2,0
70,841,27.3,73.8,556,103,34,52
20,53,0,69.2,25,22,6,0
42,382,41.5,90.6,124,198,31,0
17,72,42.1,61.5,45,33,12,3
83,1027,31.6,49.8,530,277,87,116
70,847,38.3,75,218,195,82,22
40,592,37.8,85.5,135,274,63,23
1,2,0,0,0,0,0,0
41,219,32.3,83,134,36,27,30
59,254,32.1,82.2,73,48,40,12
62,426,0,63.6,382,50,52,68
1,0,0,0,0,0,1,0
64,1057,34.9,80.2,461,161,148,48
64,656,34.9,68.4,303,109,64,39
62,1075,30.4,82.7,220,318,89,31
28,118,39.1,88.9,28,86,21,0
68,246,0,50.6,320,51,16,42
75,946,12.5,69.1,668,89,62,57
75,390,36.4,60,222,78,52,33
82,1043,34.5,69.6,255,109,93,18
11,20,0,100,19,5,5,6
27,686,40.3,85.4,178,110,24,25
47,323,14.3,80,311,77,46,17
75,1228,36.7,80.4,731,168,51,39
39,779,39.3,88.1,142,89,33,1
79,520,0,70.7,288,59,10,59
79,1055,40.7,85.9,347,182,122,11
66,377,34.5,70,121,148,46,14
62,487,28.7,75.2,200,72,44,70
77,1668,43.9,87.9,247,222,87,60
35,782,29.3,81.3,199,197,47,7
81,419,0,64.7,426,37,29,63
43,182,29.2,72.2,118,85,29,13
64,509,0,74.4,416,57,34,25
33,74,27.3,64.3,72,28,15,7
75,911,49.2,89.8,304,196,52,42
70,1244,33.8,80.8,328,473,109,13
51,294,27.9,77.2,199,59,31,39
80,480,39.8,76.9,194,85,47,21
75,1628,41.5,86.3,237,389,114,20
71,1661,35.2,84.5,726,124,48,68
61,501,17.1,62.7,277,240,38,8
62,443,31.8,72.7,195,69,37,8
26,46,50,83.3,26,15,11,0
45,533,35.2,80.8,190,150,52,12
12,46,15.4,66.7,15,45,6,0
27,196,0,50,166,23,26,39
63,315,0,70.2,323,73,15,42
66,467,38.4,78.4,91,99,41,8
69,1743,35.4,71,416,511,109,49
5,18,50,75,8,5,6,1
29,122,21.4,63.2,70,90,28,6
53,259,0,47.1,268,70,22,52
80,1242,34,86.1,151,164,88,10
67,660,30.7,58.9,328,106,81,21
6,6,0,50,11,1,2,0
81,763,25,69.9,526,105,47,18
63,256,51.3,68.4,111,24,17,11
47,188,31.7,85.7,68,96,20,4
72,1007,35.5,76.1,376,139,65,22
17,45,0,69.2,56,7,3,1
70,738,34.5,72.1,211,293,67,20
81,1413,17.6,79.5,630,307,70,131
82,1001,0,70.3,717,97,49,110
62,568,37.4,84.8,157,94,31,3
81,845,35.8,62.8,385,133,63,16
67,523,33.5,64.6,222,208,99,18
48,380,37.8,82.1,86,36,27,7
80,813,29.4,77.4,206,307,122,10
47,216,26.6,82.5,107,39,31,12
82,1258,31.8,76.3,506,192,101,39
76,791,27.8,84.3,325,72,20,34
32,106,23.3,75,46,17,7,1
78,577,35.8,71.3,386,100,69,36
82,717,0,49.5,512,74,65,63
76,764,36.2,77.9,302,114,67,50
72,264,36.5,81.1,115,47,10,12
67,319,40.7,76.3,126,204,24,2
45,158,17.9,53.7,106,25,32,9
55,327,42,93.8,250,32,10,14
24,212,23.5,76.9,89,32,15,13
66,966,23.5,69.4,353,442,111,30
55,598,0,70.1,416,77,30,38
70,1107,38.6,85.9,209,375,89,14
63,595,40.7,80.5,248,114,39,21
52,109,32.7,75,91,46,14,4
40,197,40.9,88,119,25,16,19
68,529,34.4,79.2,199,75,25,3
73,294,0,47.8,320,34,41,66
5,8,0,100,5,0,1,0
40,339,32.1,71.7,194,46,14,16
32,201,0,62.5,165,14,16,16
68,964,34.2,87.2,174,424,46,14
80,1513,28.5,75.2,190,329,148,25
42,238,27.7,67.4,50,97,20,3
21,42,0,33.3,34,21,8,2
23,27,0,33.3,38,3,4,5
67,737,20,60.4,345,123,66,22
75,744,0,60.9,611,128,133,142
58,243,25.6,53.3,106,146,63,5
66,273,26.7,69.2,250,90,35,25
28,74,23.8,68,39,11,7,3
42,563,36.9,89.2,96,41,23,11
71,664,32.4,85.7,416,341,78,40
73,319,32.2,85.9,88,67,20,17
82,833,31.6,80.3,404,97,54,54
31,386,0,83.7,234,27,19,12
74,1428,33.3,75.2,810,147,54,54
25,83,38.5,69.2,86,4,4,9
75,573,31.3,71.6,159,255,57,15
71,806,35.7,82.7,187,197,57,18
16,20,0,100,17,6,2,1
76,557,0,58.2,748,72,29,54
67,593,40.2,73.3,260,102,31,9
74,445,33.7,73.4,221,65,44,30
67,274,34.3,85.4,119,171,79,1
56,568,35.6,75,237,192,59,23
4,6,0,0,6,0,1,0
81,648,37.1,78.8,433,155,60,44
51,351,34.1,82.5,75,87,28,2
78,1446,46.2,80.3,919,210,25,147
6,53,40.9,72.7,22,6,5,1
73,1218,35.6,75.7,570,223,130,69
73,868,38.9,78.1,294,144,46,24
63,356,30.1,71.5,189,49,18,14
43,184,23.3,64.9,76,18,17,8
50,177,24.6,67.3,80,117,30,6
45,254,30.1,86.1,92,21,21,13
78,713,34.5,72.7,502,122,107,23
68,398,30,78.4,301,68,27,22
10,29,16.7,72.7,20,8,7,5
75,538,37.3,74,195,94,19,24
68,608,31.4,39.7,373,538,91,7
64,402,31.7,76.9,144,182,29,0
50,435,35.7,81.8,85,119,34,11
75,580,38.7,79.1,197,63,29,22
68,503,30.6,67.9,180,188,45,11
29,108,29.4,80,26,41,11,4
36,69,32.6,66.7,50,8,10,4
47,176,0,61.9,299,32,22,5
77,1117,29.9,83,327,462,62,9
20,37,15.8,100,17,10,1,0
74,432,42.6,68.4,183,61,32,11
17,90,37,72.7,36,19,6,1
22,226,25.5,80.3,125,193,38,1
45,198,31.4,82.8,134,27,16,9
70,943,37.4,82,316,105,97,31
67,307,0,67.1,233,55,28,43
59,566,0,77.2,394,55,16,84
50,433,36.5,76.3,117,83,30,12
71,896,39,81.9,248,219,56,10
43,221,28.4,80,69,165,67,4
2,0,0,0,1,2,0,0
76,802,0,82.4,540,84,18,125
68,1432,35.9,85.8,399,250,71,41
82,686,0,62.3,775,109,64,189
12,30,18.2,92.3,6,8,3,0
67,1886,29.9,83.5,488,574,140,14
61,833,34,85.4,295,55,33,20
46,137,0,57.4,103,14,6,19
52,332,33.6,83.2,146,92,30,24
32,128,0,70,168,29,14,41
4,22,30.8,100,6,4,3,0
16,134,30,70.6,30,45,10,0
64,917,37.6,83.6,499,55,30,155
33,153,29.6,76.3,66,46,23,1
2,0,0,0,2,1,0,0
38,512,39.2,71.7,154,44,18,7
51,261,36.4,78.6,113,130,40,4
76,470,30.2,78.2,176,226,93,9
5,20,42.9,75,1,3,4,0
78,461,0,71.4,183,259,49,20
21,24,0,50,38,4,5,3
57,276,26.1,76.5,202,51,27,27
63,341,36,87.5,166,44,25,21
20,57,16.7,78.3,29,6,5,2
55,299,31.5,80.6,79,155,30,2
3,2,0,0,1,1,0,1
82,729,32.7,82.4,314,184,66,18
34,145,18.5,91.2,48,104,19,6
73,425,31.3,64.7,258,88,24,53
80,1900,44.3,91.4,341,619,163,16
81,350,35.2,70.7,137,288,41,5
35,63,39.6,0,22,11,0,2
70,537,0,50.2,523,66,38,86
62,640,0,71.7,396,71,36,75
63,379,0,55.1,368,42,19,24
58,434,46.3,75.4,210,93,29,16
33,386,35.1,60.6,220,36,18,59
82,807,37.2,78.6,226,86,53,25
52,278,32.1,77.6,223,75,53,21
76,1071,33,65.5,411,173,124,25
54,308,0,52.8,303,33,32,20
52,428,0,75,252,78,35,37
77,1070,28.6,74,704,230,63,151
11,57,29.4,47.6,28,60,8,0
70,804,34.2,80.1,156,127,20,14
81,785,33.3,71.8,591,55,33,97
40,245,23.8,73.7,85,25,18,9
68,1164,36.4,78.8,430,124,69,36
12,51,27.8,61.5,22,24,11,4
63,539,34.5,62.7,280,86,129,30
68,976,42.7,78.3,129,335,44,2
72,435,37.1,80,176,62,32,11
30,507,26.1,66.7,86,157,48,8
5,6,0,100,1,1,1,0
51,199,36.7,76.9,106,40,15,11
82,1048,35,85.3,459,209,152,17
79,567,34.5,58.1,397,83,43,41
76,973,31.8,75.2,204,328,65,15
82,693,0,64.1,657,39,34,61
47,176,36.4,84.6,33,22,6,1
75,1143,34.1,73,234,720,92,9
33,121,27.9,71.4,35,73,18,5
74,270,14.3,69.8,265,21,30,15
32,190,37.5,68.1,81,42,33,9
82,833,0,82.3,465,113,18,52
79,1313,30.4,69.4,416,521,100,37
2,4,0,100,0,1,0,0
75,771,0,72,864,84,42,91
62,261,20,70.3,258,46,21,13
2,22,20,40,9,8,3,0
10,24,54.5,0,20,1,1,1
72,1292,33.9,81.9,302,295,120,19
66,384,29.7,78.9,133,79,43,14
65,650,37,81.3,210,105,33,2
76,753,35.1,80.4,319,124,59,45
60,956,38.9,75.2,222,139,77,10
58,397,27.1,78.7,162,81,48,19
7,22,0,50,6,18,1,1
8,15,22.2,50,5,8,6,1
52,306,34.7,82.4,79,68,26,5
78,1085,34.2,77.5,475,134,58,29
9,20,0,58.3,4,3,3,0
77,778,34.1,84.2,214,276,54,10
71,1143,35,76.5,747,153,69,14
73,606,0,78.8,500,178,80,21
16,28,21.4,60,8,5,2,0
